c1,c2,c2,b1,b2,lhAC,iw,nperiflw,nperfilw2,nperfilw3,zwGround,LFuselageLAPES,WFuselageLAPES,nCelulas,tauE,xCG_Acw,airfoilhIndex,Arh,motorIndex,infoBat,volumeBox,configBox,boxUse,batteryConsumption,Score
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,6.00,3.33,1.00,6.00,0.03,33.00,0.97,1867.21,209.10
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,5.00,3.33,1.00,6.00,0.03,33.00,0.98,1840.14,202.65
0.21,0.21,0.19,0.68,0.49,0.66,3.61,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.22,8.00,3.32,1.00,6.00,0.03,33.00,0.94,1637.00,219.51
0.21,0.21,0.19,0.68,0.49,0.66,3.61,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.22,8.00,3.32,1.00,6.00,0.03,33.00,0.94,1637.00,219.51
0.21,0.21,0.19,0.68,0.49,0.66,3.61,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.22,8.00,3.32,1.00,6.00,0.03,33.00,0.94,1637.00,219.51
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,6.00,3.33,1.00,6.00,0.03,33.00,0.97,1867.21,209.10
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,6.00,3.33,1.00,6.00,0.03,33.00,0.97,1867.21,209.10
0.23,0.22,0.20,0.73,0.34,0.61,2.26,1.00,1.00,1.00,0.18,0.24,0.07,3.00,0.56,0.21,7.00,3.18,1.00,6.00,0.03,11.00,1.00,1670.06,207.86
0.21,0.21,0.19,0.63,0.49,0.63,2.43,2.00,2.00,2.00,0.17,0.23,0.07,3.00,0.53,0.22,8.00,3.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.25,0.23,0.23,0.73,0.50,0.69,3.26,1.00,1.00,1.00,0.17,0.23,0.07,3.00,0.56,0.18,6.00,3.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.23,0.23,0.81,0.39,0.66,2.83,2.00,2.00,2.00,0.17,0.24,0.07,3.00,0.56,0.25,5.00,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.21,0.19,0.72,0.48,0.69,4.78,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.55,0.13,6.00,3.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.21,0.21,0.77,0.49,0.70,3.11,1.00,1.00,1.00,0.18,0.23,0.07,3.00,0.56,0.20,3.00,3.95,1.00,6.00,0.03,33.00,0.98,1643.86,197.85
0.24,0.21,0.18,0.73,0.49,0.67,3.83,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.55,0.25,5.00,3.32,1.00,6.00,0.03,33.00,0.99,1617.30,215.46
0.22,0.21,0.19,0.53,0.46,0.56,0.46,1.00,1.00,1.00,0.19,0.24,0.07,3.00,0.57,0.24,5.00,3.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.21,0.21,0.19,0.67,0.43,0.62,3.54,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.56,0.22,6.00,3.55,1.00,6.00,0.02,33.00,0.97,1603.76,202.47
0.24,0.21,0.19,0.72,0.46,0.68,0.74,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.51,0.14,7.00,3.32,1.00,6.00,0.03,33.00,0.96,1816.79,201.83
0.21,0.21,0.19,0.68,0.49,0.66,3.61,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.22,8.00,3.32,1.00,6.00,0.03,33.00,0.94,1637.00,219.51
0.21,0.21,0.19,0.68,0.49,0.66,3.61,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.22,8.00,3.32,1.00,6.00,0.03,33.00,0.94,1637.00,219.51
0.24,0.21,0.18,0.73,0.49,0.67,3.83,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.55,0.25,5.00,3.32,1.00,6.00,0.03,33.00,0.99,1617.30,215.46
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,6.00,3.33,1.00,6.00,0.03,33.00,0.97,1867.21,209.10
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,6.00,3.33,1.00,6.00,0.03,33.00,0.97,1867.21,209.10
0.23,0.21,0.19,0.73,0.47,0.68,0.74,2.00,2.00,2.00,0.15,0.24,0.07,3.00,0.52,0.14,7.00,3.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.21,0.18,0.75,0.55,0.72,2.19,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.57,0.21,6.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.22,0.20,0.19,0.87,0.49,0.75,1.91,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.54,0.21,2.00,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.22,0.21,0.19,0.70,0.43,0.63,3.58,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.23,5.00,3.97,1.00,6.00,0.00,0.00,0.00,1601.00,187.00
0.24,0.23,0.23,0.73,0.38,0.63,1.58,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.17,5.00,4.08,1.00,6.00,0.00,0.00,0.00,1715.40,186.16
0.23,0.23,0.22,0.83,0.28,0.62,2.26,2.00,2.00,2.00,0.17,0.24,0.07,3.00,0.54,0.25,4.00,3.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.23,0.21,0.68,0.42,0.61,3.53,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.51,0.25,5.00,3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.21,0.20,0.77,0.48,0.69,3.12,1.00,1.00,1.00,0.18,0.23,0.07,3.00,0.56,0.20,3.00,4.14,1.00,6.00,0.03,33.00,1.00,1629.32,213.31
0.24,0.23,0.19,0.72,0.46,0.67,1.65,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.15,8.00,3.30,1.00,6.00,0.03,33.00,1.00,1752.14,214.79
0.22,0.21,0.19,0.73,0.43,0.66,3.63,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.57,0.16,5.00,3.69,1.00,6.00,0.03,33.00,0.94,1604.23,210.39
0.24,0.24,0.22,0.75,0.44,0.67,0.97,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.56,0.21,7.00,3.31,1.00,6.00,0.03,33.00,1.00,1855.04,214.36
0.23,0.22,0.20,0.71,0.25,0.57,0.11,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.56,0.14,7.00,3.30,1.00,6.00,0.00,0.00,0.00,1987.01,0.00
0.22,0.21,0.19,0.69,0.27,0.55,4.51,2.00,2.00,2.00,0.16,0.24,0.07,3.00,0.54,0.22,7.00,3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.20,0.19,0.73,0.36,0.61,2.52,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.53,0.25,8.00,3.61,1.00,6.00,0.00,0.00,0.00,1655.73,183.48
0.24,0.21,0.18,0.75,0.50,0.68,1.51,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.55,0.25,5.00,3.32,1.00,6.00,0.03,33.00,0.99,1724.01,209.07
